MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen	WIJK
Liander N.V.	Liander N.V. (NW)	De Ruyterkade	1011	1011	ELK	KVB	32	100.0	65.63	31	3x25	11433	28.13	15.63	1.1	CENTRUM
Liander N.V.	GAS Liander	De Ruyterkade	1011	1011	GAS	KVB	22	100.0	81.82	41	G4	3938	0.0	18.18		CENTRUM
Liander N.V.	Liander N.V. (NW)	Oosterdokskade	1011	1011	ELK	KVB	20	100.0	5.0	60	3x25	3665	45.0	0.0	1.5	CENTRUM
Liander N.V.	GAS Liander	Oosterdokskade	1011	1011	GAS	KVB	11	100.0	45.45	82	G4	1248	0.0	9.09		CENTRUM
Liander N.V.	Liander N.V. (NW)	Oosterdokskade AB	1011	1011	ELK	KVB	18	100.0	33.33	67	3x25	3117	33.33	5.56	1.0	CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	12	100.0	91.67	50	3x25	20056	58.33	25.0	1.6	CENTRUM
	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	27	100.0	100.0	96	G4	2199	0.0	14.81		CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	21	100.0	100.0	67	1x25	3455	14.29	0.0	1.1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	19	100.0	89.47	37	1x25	8680	26.32	26.32	1.0	CENTRUM
Liander N.V.	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	15	100.0	93.33	73	G4	1722	0.0	33.33		CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	14	100.0	71.43	50	3x25	7019	28.57	14.29	1.0	CENTRUM
Liander N.V.	Liander N.V. (NW)	Houtkopersdwarsstraat	1011	1011	ELK	KVB	15	100.0	86.67	40	3x25	8842	66.67	40.0	1.6	CENTRUM
Liander N.V.	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	28	100.0	96.43	86	G4	2662	0.0	50.0		CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	28	100.0	92.86	32	3x25	2821	46.43	35.71	1.3	CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	20	100.0	70.0	50	1x35	5574	50.0	40.0	1.0	CENTRUM
	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	19	100.0	73.68	89	G4	2526	0.0	42.11		CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	32	100.0	93.75	34	3x25	8458	34.38	15.63	1.6	CENTRUM
	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	19	100.0	100.0	63	G4	2547	0.0	26.32		CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	12	100.0	83.33	50	3x25	4937	50.0	33.33	1.3	CENTRUM
	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	20	100.0	100.0	65	G4	5914	0.0	40.0		CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	11	100.0	100.0	55	3x25	8626	36.36	0.0	1.4	CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	18	100.0	83.33	44	3x25	4603	55.56	44.44	1.7	CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	21	100.0	95.24	38	1x25	2536	14.29	4.76	1.4	CENTRUM
	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	13	100.0	100.0	92	G4	1375	0.0	7.69		CENTRUM
Liander N.V.	Liander N.V. (NW)	Buiten Bantammerstraat	1011	1011	ELK	KVB	16	100.0	87.5	56	3x25	5695	43.75	68.75	1.0	CENTRUM
	GAS Liander	Buiten Bantammerstraat	1011	1011	GAS	KVB	14	100.0	92.86	93	G4	2408	0.0	71.43		CENTRUM
	Liander N.V. (NW)	Schippersstraat	1011	1011	ELK	KVB	26	100.0	73.08	46	1x35	6258	88.46	69.23	2.0	CENTRUM
	GAS Liander	Schippersstraat	1011	1011	GAS	KVB	26	100.0	69.23	92	G4	1704	0.0	65.38		CENTRUM
Liander N.V.	Liander N.V. (NW)	Schippersstraat	1011	1011	ELK	KVB	19	100.0	36.84	58	3x25	3478	52.63	31.58	1.0	CENTRUM
Liander N.V.	GAS Liander	Schippersstraat	1011	1011	GAS	KVB	15	100.0	40.0	87	G4	1221	0.0	33.33		CENTRUM
Liander N.V.	Liander N.V. (NW)	Schippersstraat	1011	1011	ELK	KVB	24	100.0	95.83	58	1x35	4414	33.33	33.33	1.7	CENTRUM
Liander N.V.	GAS Liander	Schippersstraat	1011	1011	GAS	KVB	22	100.0	95.45	91	G4	2163	0.0	40.91		CENTRUM
Liander N.V.	Liander N.V. (NW)	Kalkmarkt	1011	1011	ELK	KVB	29	93.1	79.31	72	3x25	4853	41.38	48.28	1.4	CENTRUM
	GAS Liander	Kalkmarkt	1011	1011	GAS	KVB	19	100.0	100.0	89	G4	2493	0.0	68.42		CENTRUM
Liander N.V.	Liander N.V. (NW)	Binnenkant AB	1011	1011	ELK	KVB	27	100.0	81.48	70	3x25	2334	18.52	3.7	1.4	CENTRUM
	GAS Liander	Binnenkant AB	1011	1011	GAS	KVB	16	100.0	93.75	88	G4	2061	0.0	6.25		CENTRUM
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011	1011	ELK	KVB	32	100.0	93.75	56	3x25	3364	15.63	9.38	1.6	CENTRUM
	GAS Liander	Binnenkant	1011	1011	GAS	KVB	28	100.0	92.86	82	G4	2090	0.0	14.29		CENTRUM
	Liander N.V. (NW)	Binnenkant	1011	1011	ELK	KVB	22	100.0	90.91	45	1x35	4917	22.73	4.55	1.9	CENTRUM
	GAS Liander	Binnenkant	1011	1011	GAS	KVB	16	100.0	100.0	69	G4	3333	0.0	12.5		CENTRUM
	Liander N.V. (NW)	Binnenkant	1011	1011	ELK	KVB	16	100.0	100.0	69	1x35	2372	12.5	6.25	1.5	CENTRUM
	GAS Liander	Binnenkant	1011	1011	GAS	KVB	14	100.0	100.0	86	G4	1602	0.0	0.0		CENTRUM
	Liander N.V. (NW)	Binnenkant	1011	1011	ELK	KVB	23	100.0	100.0	83	1x35	2086	0.0	8.7	1.8	CENTRUM
	GAS Liander	Binnenkant	1011	1011	GAS	KVB	20	100.0	100.0	85	G4	1494	0.0	10.0		CENTRUM
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011	1011	ELK	KVB	21	100.0	71.43	76	3x25	3170	0.0	9.52	1.6	CENTRUM
	GAS Liander	Binnenkant	1011	1011	GAS	KVB	15	100.0	86.67	73	G4	1554	0.0	13.33		CENTRUM
