MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen	WIJK
Liander N.V.	Liander N.V. (NW)	De Ruyterkade	1011	1011	ELK	KVB	25	100	68	28	3x25	14592	20	0	2,1	CENTRUM
Liander N.V.	Liander N.V. (NW)	De Ruyterkade	1011	1011	ELK	KVB	33	100	69,7	30	3x25	11278	12,12	0	2,3	CENTRUM
Liander N.V.	GAS Liander	De Ruyterkade	1011	1011	GAS	KVB	22	100	81,82	41	G4	3517	0	0	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Oosterdokskade	1011	1011	ELK	KVB	21	100	23,81	57	3x25	4270	38,1	0	2,4	CENTRUM
Liander N.V.	GAS Liander	Oosterdokskade	1011	1011	GAS	KVB	11	100	45,45	82	G4	1274	0	0	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Oosterdokskade AB	1011	1011	ELK	KVB	19	100	36,84	68	3x25	3232	26,32	0	3,1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	12	100	91,67	58	3x25	24266	41,67	0	1,6	CENTRUM
Liander N.V.	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	27	100	100	93	G4	3179	0	0	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	21	100	100	67	1x25	5106	14,29	0	1,1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	18	100	94,44	39	1x25	9606	11,11	0	2,1	CENTRUM
Liander N.V.	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	15	100	93,33	60	G4	1997	0	0	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	13	100	84,62	54	3x25	9133	23,08	0	2,3	CENTRUM
