MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen	WIJK
Liander N.V.	Liander N.V. (NW)	De Ruyterkade	1011	1011	ELK	KVB	24	100	75	33	3x25	15694	37,5	0	2,1	CENTRUM
Liander N.V.	Liander N.V. (NW)	De Ruyterkade	1011	1011	ELK	KVB	33	100	72,73	30	3x25	11739	15,15	0	2,1	CENTRUM
Liander N.V.	GAS Liander	De Ruyterkade	1011	1011	GAS	KVB	22	100	77,27	45	G4	3849	0	0	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Oosterdokskade	1011	1011	ELK	KVB	21	100	33,33	57	3x25	4557	47,62	0	2,3	CENTRUM
Liander N.V.	GAS Liander	Oosterdokskade	1011	1011	GAS	KVB	11	100	63,64	82	G4	1231	0	0	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Oosterdokskade AB	1011	1011	ELK	KVB	19	100	36,84	68	3x25	3231	26,32	0	2,8	CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	12	100	91,67	58	3x25	14012	41,67	0	1,4	CENTRUM
Liander N.V.	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	27	100	100	93	G4	2075	0	0	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	21	100	100	67	1x25	3570	14,29	0	1,1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	18	100	94,44	39	1x25	2562	11,11	0	2,1	CENTRUM
Liander N.V.	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	15	100	93,33	60	G4	1496	0	0	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	13	100	92,31	62	3x25	9582	38,46	0	2,5	CENTRUM
Liander N.V.	Liander N.V. (NW)	Houtkopersdwarsstraat	1011	1011	ELK	KVB	14	100	92,86	64	3x25	7674	42,86	0	2,7	CENTRUM
Liander N.V.	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	27	100	88,89	89	G4	2004	0	0	1	CENTRUM
